sample_id,ref_id,year,material_type,cis_1_4_pct,trans_1_4_pct,vinyl_1_2_pct,Mn,Mw,PDI,Tg_C,test_method,notes
D001,Ref_01,2021,HTPB,62,24,14,2200,4500,2.05,-86.2,DSC,
D002,Ref_01,2021,HTPB,58,27,15,2400,5000,2.08,-84.8,DSC,
D003,Ref_02,2022,PB,54,30,16,2600,5600,2.15,-82.5,DMA,
D004,Ref_02,2022,PB,50,33,17,2800,6200,2.21,-80.9,DMA,
D005,Ref_03,2022,HTPB,47,36,17,3000,6700,2.23,-79.4,DSC,
D006,Ref_03,2022,HTPB,44,38,18,3200,7200,2.25,-77.9,DSC,
D007,Ref_04,2023,PB,41,40,19,3400,7600,2.24,-76.4,DMA,
D008,Ref_04,2023,PB,39,41,20,3600,8100,2.25,-75.1,DMA,
D009,Ref_05,2023,HTPB,36,43,21,3800,8600,2.26,-73.5,DSC,
D010,Ref_05,2023,HTPB,34,44,22,4000,9000,2.25,-72.6,DSC,
D011,Ref_06,2024,PB,33,45,22,4300,9700,2.26,-71.9,DMA,
D012,Ref_06,2024,PB,31,46,23,4600,10400,2.26,-70.8,DMA,
D013,Ref_07,2024,HTPB,29,47,24,4900,11100,2.27,-69.5,DSC,
D014,Ref_07,2024,HTPB,27,48,25,5200,11800,2.27,-68.4,DSC,
D015,Ref_08,2024,PB,25,49,26,5600,12700,2.27,-67.2,DMA,
D016,Ref_08,2024,PB,23,50,27,6000,13600,2.27,-66.1,DMA,
D017,Ref_09,2025,HTPB,21,51,28,6500,14800,2.28,-64.9,DSC,
D018,Ref_09,2025,HTPB,19,52,29,7000,15900,2.27,-63.7,DSC,
D019,Ref_10,2025,PB,17,53,30,7600,17300,2.28,-62.8,DMA,
D020,Ref_10,2025,PB,15,54,31,8200,18700,2.28,-61.9,DMA,
